id,assumption,why,evidence,effect_if_wrong,status,logged
A12,"Voters of a party that stood before but is not standing in 2026 are shared among the standing parties in proportion to those parties' support in the same voting district","A neutral default: we have no evidence yet on where such voters go","None; local knowledge or by-election results could replace it council by council via swing_priors.csv","Matters most where the absent party was large: Karoo Gemeenskap Party 11% (Prince Albert), GOOD 8% (Beaufort West)",open,2026-09-24
A13,"For parties with no fitted national-to-local translation, b = 1 and the local premium a is uncertain: a prior from the fitted parties' premiums, updated by precision with by-election evidence where at least 3 wards exist","No 2019 national vote to learn from (the PA was not on the 2019 provincial ballot)","PA: 14 by-election wards since the 2024 national election give +0.20 ± 0.19; combined +0.12 ± 0.17 (L023). NCC, PMC, ATM: prior only","For parties on the prior alone, the prior mean (−0.32) may be wrong for locally organised parties, as it was for the PA",open,2026-09-24
A14,"By-election evidence is taken only from by-elections after the 2024 national election","Earlier by-elections predate the 2024 baseline they are compared with","Placebo parties are consistent with zero after 2024 but drift before it (systematic error 0.35); including them moves the PA estimate from +0.20 to −0.18 (L023)","A different window changes the PA's premium, and its seats in councils such as Beaufort West, Matzikama, Laingsburg and Prince Albert",open,2026-09-24
A15,"Each party's learned local premium carries over from the previous national-to-local cycle at half strength","Premiums carry information but overshoot for individual parties (the DA's 2014 -> 2016 premium over-predicted it by 53 seats in 2021)","Full premiums beat zero premiums (L028, L037); halved premiums with slopes at 1 beat full premiums on ward Brier with no cost on seats (L040)","A party whose local premium has changed is mis-predicted; halving limits the damage",tested,2026-09-25
A16,"A newcomer's council share follows a party-weighted regression on past Western Cape newcomers (ward coverage, standing in every ward, breadth, council size, history elsewhere in the province), and is taken proportionally from all other parties","The 2026 lists name 122 newcomer cases but give no information on their strength beyond where they stand","v1 (classes) was switched off in L043. v2 passed the pre-registered 2021 backtest at the adopted settings (seat CRPS 0.379 against 0.400, 90% interval of the difference -0.034 to -0.009; coverage 87.9%) and check C20 (L045-L046). The backtest fit (2016 only) has no party-wide component; the 2026 fit does (rho 0.33)","Newcomers systematically stronger or weaker than past ones; votes taken unevenly (e.g. mostly from one party)",tested,2026-09-26
A17,"The SACP uses a sourced prior (council share median 0.8%, 90th percentile 2.5%); other newcomers standing in 11+ councils use the class prior","The class prior for wide newcomers is dominated by the PA's 2021 surge; the SACP has a poll bound","Ipsos Jun-Jul 2026: SACP below 2% nationally; scaled by the ANC's weaker Western Cape base (maintainers' judgement, L041). No poll evidence for the Afrika Mayibuye Movement","If the SACP is stronger than the Ipsos bound implies, its share, and the ANC's loss to it, are understated",open,2026-09-25
A18,"Slopes of the national-to-local translation are fixed at 1 (the national spatial pattern carried unsquashed), with intercepts re-estimated","Fitted slopes are attenuated by sampling noise; the errors-in-variables correction made seats worse","Pre-registered ward experiment (L040): slopes at 1 with halved premiums was best on ward Brier with no cost on seats; corrected slopes were worst on seats","If a party's spatial pattern genuinely changes between national and local elections, it is not captured",tested,2026-09-25
A19,"Polls are not used as model inputs; they are a published cross-check","Before 2024, Western Cape polls missed the provincial result by large margins in both directions, so there is no consistent bias to correct","DA errors from -11 (Ipsos, late 2023) to +9 points (SRF, July 2023, turnout-modelled); EFF up to +10; SRF March 2024 -2 on the DA (L041-L042)","If the 2026 polls are more accurate than earlier ones, information that could narrow the forecast is left unused",tested,2026-09-25
A20,"Each party's learned local premium is measured against the national vote interpolated to the local election's date, between the national elections either side, not against the earlier national election","Measured against the earlier election, the premium absorbs swing between the national and local elections and carries it into 2026 as if it were local","Pre-registered 2021 backtest (L045): seat CRPS 0.4014 against 0.4050, ward Brier 0.151 against 0.157, DA 54.7% against 54.7% actual (53.4% before). Against it: council control right in 19 of 25 councils rather than 21, and the ANC over-predicted slightly more (24.9% against 20.5%)","If swing between elections is itself informative about local strength, interpolation discards real signal; the fraction assumes change was linear between the national elections",tested,2026-09-26
A21,"Ward and district noise is centred on each party's log share, with one spread for every party","The simplest symmetric uncertainty on the log-share scale; the spreads are estimated from 2019 -> 2021 residuals","Under test (L047): the share decomposition shows this lowers a dominant party's expected share by several points (convexity), yet the 2021 backtest predicted the DA's provincial share almost exactly with it. The spreads are dominated by small parties' sampling noise (O12)","A dominant party's share is understated, most of all where it dominates: the DA in Cape Town and its strongholds",open,2026-09-26
